Mod:Item:MetaData, Localized Name
chisel:present:4, Present
chisel:present:5, Present
chisel:present:6, Present
chisel:present:7, Present
chisel:present:8, Present
chisel:present:9, Present
chisel:present:10, Present
chisel:present:11, Present
chisel:present:12, Present
chisel:present:13, Present
chisel:present:14, Present
chisel:present:15, Present
chisel:pumpkin1:0, Pumpkin
chisel:pumpkin2:0, Pumpkin
chisel:pumpkin3:0, Pumpkin
chisel:pumpkin4:0, Pumpkin
chisel:pumpkin5:0, Pumpkin
chisel:pumpkin6:0, Pumpkin
chisel:pumpkin7:0, Pumpkin
chisel:pumpkin8:0, Pumpkin
chisel:pumpkin9:0, Pumpkin
chisel:pumpkin10:0, Pumpkin
chisel:pumpkin11:0, Pumpkin
chisel:pumpkin12:0, Pumpkin
chisel:pumpkin13:0, Pumpkin
chisel:pumpkin14:0, Pumpkin
chisel:pumpkin15:0, Pumpkin
chisel:pumpkin16:0, Pumpkin
chisel:purpur:0, Purpur Block
chisel:purpur:1, Purpur Block
chisel:purpur:2, Purpur Block
chisel:purpur:3, Purpur Block
chisel:purpur:4, Purpur Block
chisel:purpur:5, Purpur Block
chisel:purpur:6, Purpur Block
chisel:purpur:7, Purpur Block
chisel:purpur:8, Purpur Block
chisel:purpur:9, Purpur Block
chisel:purpur:10, Purpur Block
chisel:redstone_block:1, Redstone Block
chisel:redstone_block:2, Redstone Block
chisel:redstone_block:3, Redstone Block
chisel:redstone_block:4, Redstone Block
chisel:redstone_block:5, Redstone Block
chisel:redstone_block:6, Redstone Block
chisel:redstone_block:7, Redstone Block
chisel:redstone_block:8, Redstone Block
chisel:redstone_block:9, Redstone Block
chisel:redstone_block:10, Redstone Block
chisel:redstone_block:11, Redstone Block
chisel:redstone_block:12, Redstone Block
chisel:redstone_block:13, Redstone Block
chisel:redstone_block:14, Redstone Block
chisel:redstone_block:15, Redstone Block
chisel:road_line:0, Road Lines
chisel:road_line:1, Road Lines
chisel:road_line:2, Road Lines
chisel:road_line:3, Road Lines
chisel:sandstone:0, Sandstone
chisel:sandstone:1, Sandstone
chisel:sandstone:2, Sandstone
chisel:sandstone:3, Sandstone
chisel:sandstone:4, Sandstone
chisel:sandstone:5, Sandstone
chisel:sandstone:6, Sandstone
chisel:sandstone:7, Sandstone
chisel:sandstone:8, Sandstone
chisel:sandstone:9, Sandstone
chisel:sandstone:10, Sandstone
chisel:sandstone:11, Sandstone
chisel:sandstone:12, Sandstone
chisel:sandstone:13, Sandstone
chisel:sandstone:14, Sandstone
chisel:sandstone:15, Sandstone
chisel:sandstone2:0, tile.chisel.sandstone2.name
chisel:sandstone2:1, tile.chisel.sandstone2.name
chisel:sandstone_scribbles:0, Sandstone Scribbles
chisel:sandstone_scribbles:1, Sandstone Scribbles
chisel:sandstone_scribbles:2, Sandstone Scribbles
chisel:sandstone_scribbles:3, Sandstone Scribbles
chisel:sandstone_scribbles:4, Sandstone Scribbles
chisel:sandstone_scribbles:5, Sandstone Scribbles
chisel:sandstone_scribbles:6, Sandstone Scribbles
chisel:sandstone_scribbles:7, Sandstone Scribbles
chisel:sandstone_scribbles:8, Sandstone Scribbles
chisel:sandstone_scribbles:9, Sandstone Scribbles
chisel:sandstone_scribbles:10, Sandstone Scribbles
chisel:sandstone_scribbles:11, Sandstone Scribbles
chisel:sandstone_scribbles:12, Sandstone Scribbles
chisel:sandstone_scribbles:13, Sandstone Scribbles
chisel:sandstone_scribbles:14, Sandstone Scribbles
chisel:sandstone_scribbles:15, Sandstone Scribbles
chisel:silverblock:0, Block of Silver
chisel:silverblock:1, Block of Silver
chisel:silverblock:2, Block of Silver
chisel:silverblock:3, Block of Silver
chisel:silverblock:4, Block of Silver
chisel:silverblock:5, Block of Silver
chisel:sand_snakestone:1, Sand Snakestone
chisel:sand_snakestone:13, Sand Snakestone
chisel:stone_snakestone:1, Stone Snakestone
chisel:stone_snakestone:13, Stone Snakestone
chisel:obsidian_snakestone:1, Obsidian Snakestone
chisel:obsidian_snakestone:13, Obsidian Snakestone
chisel:steelblock:0, Block of Steel
chisel:steelblock:1, Block of Steel
chisel:steelblock:2, Block of Steel
chisel:steelblock:3, Block of Steel
chisel:steelblock:4, Block of Steel
chisel:steelblock:5, Block of Steel
chisel:stonebricksmooth:0, Stone Bricks
chisel:stonebricksmooth:1, Stone Bricks
chisel:stonebricksmooth:2, Stone Bricks
chisel:stonebricksmooth:3, Stone Bricks
chisel:stonebricksmooth:4, Stone Bricks
chisel:stonebricksmooth:5, Stone Bricks
chisel:stonebricksmooth:6, Stone Bricks
chisel:stonebricksmooth:7, Stone Bricks
chisel:stonebricksmooth:8, Stone Bricks
chisel:stonebricksmooth:9, Stone Bricks
chisel:stonebricksmooth:10, Stone Bricks
chisel:stonebricksmooth:11, Stone Bricks
chisel:stonebricksmooth:12, Stone Bricks
chisel:stonebricksmooth:13, Stone Bricks
chisel:stonebricksmooth:14, Stone Bricks
chisel:stonebricksmooth:15, Stone Bricks
chisel:tallow:0, Block of Tallow
chisel:tallow:1, Block of Tallow
chisel:technical:0, Technical Block
chisel:technical:1, Technical Block
chisel:technical:2, Technical Block
chisel:technical:3, Technical Block
chisel:technical:4, Technical Block
chisel:technical:5, Technical Block
chisel:technical:6, Technical Block
chisel:technical:7, Technical Block
chisel:technical:8, Technical Block
chisel:technical:9, Technical Block
chisel:technical:10, Technical Block
chisel:technical:11, Technical Block
chisel:technical:12, Technical Block
chisel:technical:13, Technical Block
chisel:technical:14, Technical Block
chisel:technical:15, Technical Block
chisel:technical2:0, Transparent Technical Block
chisel:technical2:1, Transparent Technical Block
chisel:technical2:2, Transparent Technical Block
chisel:technical2:3, Transparent Technical Block
chisel:technical3:0, Industrial Technical Block
chisel:technical3:1, Industrial Technical Block
chisel:technical4:0, Technical Block
chisel:technical4:1, Technical Block
chisel:technical4:2, Technical Block
chisel:technical4:3, Technical Block
chisel:technical4:4, Technical Block
chisel:technical4:5, Technical Block
chisel:technical4:6, Technical Block
chisel:technical4:7, Technical Block
chisel:templeblock:0, Temple Block
chisel:templeblock:1, Temple Block
chisel:templeblock:2, Temple Block
chisel:templeblock:3, Temple Block
chisel:templeblock:4, Temple Block
chisel:templeblock:5, Temple Block
chisel:templeblock:6, Temple Block
chisel:templeblock:7, Temple Block
chisel:templeblock:8, Temple Block
chisel:templeblock:9, Temple Block
chisel:templeblock:10, Temple Block
chisel:templeblock:11, Temple Block
chisel:templeblock:12, Temple Block
chisel:templeblock:13, Temple Block
chisel:templeblock:14, Temple Block
chisel:templeblock:15, Temple Block
chisel:mossy_templeblock:0, Mossy Temple Block
chisel:mossy_templeblock:1, Mossy Temple Block
chisel:mossy_templeblock:2, Mossy Temple Block
chisel:mossy_templeblock:3, Mossy Temple Block
chisel:mossy_templeblock:4, Mossy Temple Block
chisel:mossy_templeblock:5, Mossy Temple Block
chisel:mossy_templeblock:6, Mossy Temple Block
chisel:mossy_templeblock:7, Mossy Temple Block
chisel:mossy_templeblock:8, Mossy Temple Block
chisel:mossy_templeblock:9, Mossy Temple Block
chisel:mossy_templeblock:10, Mossy Temple Block
chisel:mossy_templeblock:11, Mossy Temple Block
chisel:mossy_templeblock:12, Mossy Temple Block
chisel:mossy_templeblock:13, Mossy Temple Block
chisel:mossy_templeblock:14, Mossy Temple Block
chisel:mossy_templeblock:15, Mossy Temple Block
chisel:tinblock:0, Block of Tin
chisel:tinblock:1, Block of Tin
chisel:tinblock:2, Block of Tin
chisel:tinblock:3, Block of Tin
chisel:tinblock:4, Block of Tin
chisel:tinblock:5, Block of Tin
chisel:thaumium:0, Thaumium Block
chisel:thaumium:1, Thaumium Block
chisel:thaumium:2, Thaumium Block
chisel:thaumium:3, Thaumium Block
chisel:thaumium:4, Thaumium Block
chisel:thaumium:5, Thaumium Block
chisel:torch1, Torch
chisel:torch2, Torch
chisel:torch3, Torch
chisel:torch4, Torch
chisel:torch5, Torch
chisel:torch6, Torch
chisel:torch7, Torch
chisel:torch8, Torch
chisel:torch9, Torch
chisel:torch10, Torch
chisel:tyrian:0, Tyrian
chisel:tyrian:1, Tyrian
chisel:tyrian:2, Tyrian
chisel:tyrian:3, Tyrian
chisel:tyrian:4, Tyrian
chisel:tyrian:5, Tyrian
chisel:tyrian:6, Tyrian
chisel:tyrian:7, Tyrian
chisel:tyrian:8, Tyrian
chisel:tyrian:9, Tyrian
chisel:tyrian:10, Tyrian
chisel:tyrian:11, Tyrian
chisel:tyrian:12, Tyrian
chisel:tyrian:13, Tyrian
chisel:tyrian:14, Tyrian
chisel:tyrian:15, Tyrian
chisel:uraniumblock:0, Block of Uranium
chisel:uraniumblock:1, Block of Uranium
chisel:uraniumblock:2, Block of Uranium
chisel:uraniumblock:3, Block of Uranium
chisel:uraniumblock:4, Block of Uranium
chisel:uraniumblock:5, Block of Uranium
chisel:valentines:0, Valentines Block
chisel:valentines:1, Valentines Block
chisel:valentines:2, Valentines Block
chisel:valentines:3, Valentines Block
chisel:valentines:4, Valentines Block
chisel:valentines:5, Valentines Block
chisel:valentines:6, Valentines Block
chisel:valentines:7, Valentines Block
chisel:valentines:8, Valentines Block
chisel:valentines:9, Valentines Block
chisel:voidstone:0, Voidstone
chisel:voidstone:1, Voidstone
chisel:voidstone:2, Voidstone
chisel:voidstone:3, Voidstone
chisel:voidstone:4, Voidstone
chisel:voidstone:5, Voidstone
chisel:voidstone:6, Voidstone
chisel:voidstone:7, Voidstone
chisel:voidstone2:0, Energised Voidstone
chisel:voidstone2:1, Energised Voidstone
chisel:voidstone2:2, Energised Voidstone
chisel:voidstone2:3, Energised Voidstone
chisel:voidstone2:4, Energised Voidstone
chisel:voidstone2:5, Energised Voidstone
chisel:voidstone2:6, Energised Voidstone
chisel:voidstone2:7, Energised Voidstone
chisel:voidstoneRunic:1, Runic Voidstone
chisel:voidstoneRunic:2, Runic Voidstone
chisel:voidstoneRunic:3, Runic Voidstone
chisel:voidstoneRunic:4, Runic Voidstone
chisel:voidstoneRunic:5, Runic Voidstone
chisel:voidstoneRunic:6, Runic Voidstone
chisel:voidstoneRunic:7, Runic Voidstone
chisel:voidstoneRunic:8, Runic Voidstone
chisel:voidstoneRunic:9, Runic Voidstone
chisel:voidstoneRunic:10, Runic Voidstone
chisel:voidstoneRunic:11, Runic Voidstone
chisel:voidstoneRunic:12, Runic Voidstone
chisel:voidstoneRunic:13, Runic Voidstone
chisel:voidstoneRunic:14, Runic Voidstone
chisel:voidstoneRunic:15, Runic Voidstone
chisel:voidstonePillar:0, Voidstone Pillar
chisel:voidstonePillar2:0, Energised Voidstone Pillar
chisel:warningSign:0, Warning Sign
chisel:warningSign:1, Warning Sign
chisel:warningSign:2, Warning Sign
chisel:warningSign:3, Warning Sign
chisel:warningSign:4, Warning Sign
chisel:warningSign:5, Warning Sign
chisel:warningSign:6, Warning Sign
chisel:warningSign:7, Warning Sign
chisel:warningSign:8, Warning Sign
chisel:warningSign:9, Warning Sign
chisel:warningSign:10, Warning Sign
chisel:warningSign:11, Warning Sign
chisel:warningSign:12, Warning Sign
chisel:warningSign:13, Warning Sign
chisel:warningSign:14, Warning Sign
chisel:waterstone:0, Waterstone
chisel:waterstone:1, Waterstone
chisel:waterstone:2, Waterstone
chisel:waterstone:3, Waterstone
chisel:waterstone:4, Waterstone
chisel:waterstone:5, Waterstone
chisel:waterstone:6, Waterstone
chisel:oak_planks:1, Oak Wood Planks
chisel:oak_planks:2, Oak Wood Planks
chisel:oak_planks:6, Oak Wood Planks
chisel:oak_planks:8, Oak Wood Planks
chisel:oak_planks:9, Oak Wood Planks
chisel:oak_planks:10, Oak Wood Planks
chisel:oak_planks:11, Oak Wood Planks
chisel:oak_planks:13, Oak Wood Planks
chisel:oak_planks:3, Oak Wood Planks
chisel:oak_planks:4, Oak Wood Planks
chisel:oak_planks:5, Oak Wood Planks
chisel:oak_planks:7, Oak Wood Planks
chisel:oak_planks:12, Oak Wood Planks
chisel:oak_planks:14, Oak Wood Planks
chisel:oak_planks:15, Oak Wood Planks
chisel:spruce_planks:1, Spruce Wood Planks
chisel:spruce_planks:2, Spruce Wood Planks
chisel:spruce_planks:6, Spruce Wood Planks
chisel:spruce_planks:8, Spruce Wood Planks
chisel:spruce_planks:9, Spruce Wood Planks
chisel:spruce_planks:10, Spruce Wood Planks
chisel:spruce_planks:11, Spruce Wood Planks
chisel:spruce_planks:13, Spruce Wood Planks
chisel:spruce_planks:3, Spruce Wood Planks
chisel:spruce_planks:4, Spruce Wood Planks
chisel:spruce_planks:5, Spruce Wood Planks
chisel:spruce_planks:7, Spruce Wood Planks
chisel:spruce_planks:12, Spruce Wood Planks
chisel:spruce_planks:14, Spruce Wood Planks
chisel:spruce_planks:15, Spruce Wood Planks
chisel:birch_planks:1, Birch Wood Planks
chisel:birch_planks:2, Birch Wood Planks
chisel:birch_planks:6, Birch Wood Planks
chisel:birch_planks:8, Birch Wood Planks
chisel:birch_planks:9, Birch Wood Planks
chisel:birch_planks:10, Birch Wood Planks
chisel:birch_planks:11, Birch Wood Planks
chisel:birch_planks:13, Birch Wood Planks
chisel:birch_planks:3, Birch Wood Planks
chisel:birch_planks:4, Birch Wood Planks
chisel:birch_planks:5, Birch Wood Planks
chisel:birch_planks:7, Birch Wood Planks
chisel:birch_planks:12, Birch Wood Planks
chisel:birch_planks:14, Birch Wood Planks
chisel:birch_planks:15, Birch Wood Planks
chisel:jungle_planks:1, Jungle Wood Planks
chisel:jungle_planks:2, Jungle Wood Planks
chisel:jungle_planks:6, Jungle Wood Planks
chisel:jungle_planks:8, Jungle Wood Planks
chisel:jungle_planks:9, Jungle Wood Planks
chisel:jungle_planks:10, Jungle Wood Planks
chisel:jungle_planks:11, Jungle Wood Planks
chisel:jungle_planks:13, Jungle Wood Planks
chisel:jungle_planks:3, Jungle Wood Planks
chisel:jungle_planks:4, Jungle Wood Planks
chisel:jungle_planks:5, Jungle Wood Planks
chisel:jungle_planks:7, Jungle Wood Planks
chisel:jungle_planks:12, Jungle Wood Planks
chisel:jungle_planks:14, Jungle Wood Planks
chisel:jungle_planks:15, Jungle Wood Planks
chisel:acacia_planks:1, Acacia Wood Planks
chisel:acacia_planks:2, Acacia Wood Planks
chisel:acacia_planks:6, Acacia Wood Planks
chisel:acacia_planks:8, Acacia Wood Planks
chisel:acacia_planks:9, Acacia Wood Planks
chisel:acacia_planks:10, Acacia Wood Planks
chisel:acacia_planks:11, Acacia Wood Planks
chisel:acacia_planks:13, Acacia Wood Planks
chisel:acacia_planks:3, Acacia Wood Planks
chisel:acacia_planks:4, Acacia Wood Planks
chisel:acacia_planks:5, Acacia Wood Planks
chisel:acacia_planks:7, Acacia Wood Planks
chisel:acacia_planks:12, Acacia Wood Planks
chisel:acacia_planks:14, Acacia Wood Planks
chisel:acacia_planks:15, Acacia Wood Planks
chisel:dark_oak_planks:1, Dark Oak Wood Planks
chisel:dark_oak_planks:2, Dark Oak Wood Planks
chisel:dark_oak_planks:6, Dark Oak Wood Planks
chisel:dark_oak_planks:8, Dark Oak Wood Planks
chisel:dark_oak_planks:9, Dark Oak Wood Planks
chisel:dark_oak_planks:10, Dark Oak Wood Planks
chisel:dark_oak_planks:11, Dark Oak Wood Planks
chisel:dark_oak_planks:13, Dark Oak Wood Planks
chisel:dark_oak_planks:3, Dark Oak Wood Planks
chisel:dark_oak_planks:4, Dark Oak Wood Planks
chisel:dark_oak_planks:5, Dark Oak Wood Planks
chisel:dark_oak_planks:7, Dark Oak Wood Planks
chisel:dark_oak_planks:12, Dark Oak Wood Planks
chisel:dark_oak_planks:14, Dark Oak Wood Planks
chisel:dark_oak_planks:15, Dark Oak Wood Planks
chisel:woolen_clay:0, Woolen Clay
chisel:woolen_clay:1, Woolen Clay
chisel:woolen_clay:2, Woolen Clay
chisel:woolen_clay:3, Woolen Clay
chisel:woolen_clay:4, Woolen Clay
chisel:woolen_clay:5, Woolen Clay
chisel:woolen_clay:6, Woolen Clay
chisel:woolen_clay:7, Woolen Clay
chisel:woolen_clay:8, Woolen Clay
chisel:woolen_clay:9, Woolen Clay
chisel:woolen_clay:10, Woolen Clay
chisel:woolen_clay:11, Woolen Clay
chisel:woolen_clay:12, Woolen Clay
chisel:woolen_clay:13, Woolen Clay
chisel:woolen_clay:14, Woolen Clay
chisel:woolen_clay:15, Woolen Clay
chocolateQuest:CQSpawner, tile.CQSpawner.name
chocolateQuest:exporter,  Exporter Block
chocolateQuest:armorStand,  Armor Stand
chocolateQuest:bannerStand,  Banner Holder
chocolateQuest:table,  Table
chocolateQuest:dungeonBrick:0, Dungeon Brick
chocolateQuest:dungeonBrick:1, Dungeon Brick
chocolateQuest:dungeonBrick:2, Dungeon Brick
chocolateQuest:dungeonBrick:3, Dungeon Brick
chocolateQuest:dungeonBrick:4, Dungeon Brick
chocolateQuest:dungeonBrick:5, Dungeon Brick
chocolateQuest:dungeonBrick:6, Dungeon Brick
chocolateQuest:dungeonBrick:7, Dungeon Brick
chocolateQuest:dungeonBrick:8, Dungeon Brick
chocolateQuest:dungeonBrick:9, Dungeon Brick
chocolateQuest:dungeonBrick:10, Dungeon Brick
chocolateQuest:dungeonBrick:11, Dungeon Brick
chocolateQuest:dungeonBrick:12, Dungeon Brick
chocolateQuest:dungeonBrick:13, Dungeon Brick
chocolateQuest:dungeonBrick:14, Dungeon Brick
chocolateQuest:dungeonBrick:15, Dungeon Brick
chocolateQuest:exporterChest:0, tile.ExporterChest.name
chocolateQuest:exporterChest:1, tile.ExporterChest.name
chocolateQuest:exporterChest:2, tile.ExporterChest.name
chocolateQuest:exporterChest:3, tile.ExporterChest.name
chocolateQuest:exporterChest:4, tile.ExporterChest.name
chocolateQuest:none, tile.none.name
eplus:tile.advancedEnchantmentTable, Advanced Enchantment Table
ThermalFoundation:Ore:0, Copper Ore
ThermalFoundation:Ore:1, Tin Ore
ThermalFoundation:Ore:2, Silver Ore
ThermalFoundation:Ore:3, Lead Ore
ThermalFoundation:Ore:4, Ferrous Ore
ThermalFoundation:Ore:5, Shiny Ore
ThermalFoundation:Ore:6, Mana Infused Ore
ThermalFoundation:Storage:0, Copper Block
ThermalFoundation:Storage:1, Tin Block
ThermalFoundation:Storage:2, Silver Block
ThermalFoundation:Storage:3, Lead Block
ThermalFoundation:Storage:4, Ferrous Block
ThermalFoundation:Storage:5, Shiny Block
ThermalFoundation:Storage:6, Mana Infused Block
ThermalFoundation:Storage:7, Electrum Block
ThermalFoundation:Storage:8, Invar Block
ThermalFoundation:Storage:9, Bronze Block
ThermalFoundation:Storage:10, Signalum Block
ThermalFoundation:Storage:11, Lumium Block
ThermalFoundation:Storage:12, Enderium Block
ThermalFoundation:FluidRedstone, Destabilized Redstone
ThermalFoundation:FluidGlowstone, Energized Glowstone
ThermalFoundation:FluidEnder, Resonant Ender
ThermalFoundation:FluidPyrotheum, Blazing Pyrotheum
ThermalFoundation:FluidCryotheum, Gelid Cryotheum
ThermalFoundation:FluidAerotheum, Zephyrean Aerotheum
ThermalFoundation:FluidPetrotheum, Tectonic Petrotheum
ThermalFoundation:FluidMana, Primal Mana
ThermalFoundation:FluidSteam, Steam
ThermalFoundation:FluidCoal, Liquifacted Coal
enhancedportals:frame:0, Portal Frame
enhancedportals:frame:1, Portal Controller
enhancedportals:frame:2, Redstone Interface
enhancedportals:frame:3, Network Interface
enhancedportals:frame:4, Dialing Device
enhancedportals:frame:5, Programmable Interface
enhancedportals:frame:6, Module Manipulator
enhancedportals:frame:7, Fluid Transportation Module
enhancedportals:frame:8, Item Transportation Module
enhancedportals:frame:9, Energy Transportation Module
enhancedportals:portal, Portal
enhancedportals:dbs:0, Dimensional Bridge Stabilizer
enhancedportals:decor_frame, Bordered Quartz
enhancedportals:decor_dbs, Ender-Infused Metal
enhancedportals:dbs_empty, Dimensional Bridge Stabilizer (Empty)
ExtraUtilities:chestMini, Mini-Chest
ExtraUtilities:chestFull, Slightly Larger Chest
ExtraUtilities:enderCollector, Ender Collector
ExtraUtilities:endConstructor:0, QED (Quail Eating Ducks)
ExtraUtilities:endConstructor:2, Ender-Flux Crystal
ExtraUtilities:endMarker, Ender-Marker
ExtraUtilities:curtains, Blackout Curtains
ExtraUtilities:angelBlock, Angel Block
ExtraUtilities:budoff:0, Block Update Detector
ExtraUtilities:budoff:3, Block Update Detector (Advanced)
ExtraUtilities:chandelier, Chandelier
ExtraUtilities:decorativeBlock1:0, Edged Stone Bricks
ExtraUtilities:decorativeBlock1:1, Ender-infused Obsidian
ExtraUtilities:decorativeBlock1:2, Burnt Quartz
ExtraUtilities:decorativeBlock1:3, Frosted Stone
ExtraUtilities:decorativeBlock1:4, Border Stone
ExtraUtilities:decorativeBlock1:5, Unstable Ingot Block
ExtraUtilities:decorativeBlock1:6, Gravel Bricks
ExtraUtilities:decorativeBlock1:7, Border Stone (Alternate)
ExtraUtilities:decorativeBlock1:8, Magical Wood
ExtraUtilities:decorativeBlock1:9, Sandy Glass
ExtraUtilities:decorativeBlock1:10, Gravel Road
ExtraUtilities:decorativeBlock1:11, Ender Core
ExtraUtilities:decorativeBlock1:12, Diamond-Etched Computational Matrix
ExtraUtilities:decorativeBlock1:13, Ender-Sand Alloy
ExtraUtilities:decorativeBlock1:14, Carved 'Eminence' Stone
ExtraUtilities:decorativeBlock2:0, Thickened Glass
ExtraUtilities:decorativeBlock2:1, Edged Glass
ExtraUtilities:decorativeBlock2:2, Glass Bricks
ExtraUtilities:decorativeBlock2:3, Carved Glass
ExtraUtilities:decorativeBlock2:4, Golden Edged Glass
ExtraUtilities:decorativeBlock2:5, Obsidian Glass
ExtraUtilities:decorativeBlock2:6, Swirling Glass
ExtraUtilities:decorativeBlock2:7, Glowstone Glass
ExtraUtilities:decorativeBlock2:8, Heart Glass
ExtraUtilities:decorativeBlock2:9, Square Glass
ExtraUtilities:decorativeBlock2:10, Dark Glass
ExtraUtilities:decorativeBlock2:11, Reinforced Dark Glass
ExtraUtilities:pureLove, tile.extrautils:pureLove.name
ExtraUtilities:block_bedrockium, Block of Bedrockium
ExtraUtilities:datablock, tile.extrautils:datablock.name
ExtraUtilities:colorStoneBrick:0, Colored Stone Bricks (White Frequency)
ExtraUtilities:colorStoneBrick:1, Colored Stone Bricks (Orange Frequency)
ExtraUtilities:colorStoneBrick:2, Colored Stone Bricks (Magenta Frequency)
ExtraUtilities:colorStoneBrick:3, Colored Stone Bricks (Light Blue Frequency)
ExtraUtilities:colorStoneBrick:4, Colored Stone Bricks (Yellow Frequency)
ExtraUtilities:colorStoneBrick:5, Colored Stone Bricks (Lime Frequency)
ExtraUtilities:colorStoneBrick:6, Colored Stone Bricks (Pink Frequency)
ExtraUtilities:colorStoneBrick:7, Colored Stone Bricks (Gray Frequency)
ExtraUtilities:colorStoneBrick:8, Colored Stone Bricks (Light Gray Frequency)
ExtraUtilities:colorStoneBrick:9, Colored Stone Bricks (Cyan Frequency)
ExtraUtilities:colorStoneBrick:10, Colored Stone Bricks (Purple Frequency)
ExtraUtilities:colorStoneBrick:11, Colored Stone Bricks (Blue Frequency)
ExtraUtilities:colorStoneBrick:12, Colored Stone Bricks (Brown Frequency)
ExtraUtilities:colorStoneBrick:13, Colored Stone Bricks (Green Frequency)
ExtraUtilities:colorStoneBrick:14, Colored Stone Bricks (Red Frequency)
ExtraUtilities:colorStoneBrick:15, Colored Stone Bricks (Black Frequency)
ExtraUtilities:colorWoodPlanks:0, Colored Oak Wood Planks (White Frequency)
ExtraUtilities:colorWoodPlanks:1, Colored Oak Wood Planks (Orange Frequency)
ExtraUtilities:colorWoodPlanks:2, Colored Oak Wood Planks (Magenta Frequency)
ExtraUtilities:colorWoodPlanks:3, Colored Oak Wood Planks (Light Blue Frequency)
ExtraUtilities:colorWoodPlanks:4, Colored Oak Wood Planks (Yellow Frequency)
ExtraUtilities:colorWoodPlanks:5, Colored Oak Wood Planks (Lime Frequency)
ExtraUtilities:colorWoodPlanks:6, Colored Oak Wood Planks (Pink Frequency)
ExtraUtilities:colorWoodPlanks:7, Colored Oak Wood Planks (Gray Frequency)
ExtraUtilities:colorWoodPlanks:8, Colored Oak Wood Planks (Light Gray Frequency)
ExtraUtilities:colorWoodPlanks:9, Colored Oak Wood Planks (Cyan Frequency)
ExtraUtilities:colorWoodPlanks:10, Colored Oak Wood Planks (Purple Frequency)
ExtraUtilities:colorWoodPlanks:11, Colored Oak Wood Planks (Blue Frequency)
ExtraUtilities:colorWoodPlanks:12, Colored Oak Wood Planks (Brown Frequency)
ExtraUtilities:colorWoodPlanks:13, Colored Oak Wood Planks (Green Frequency)
ExtraUtilities:colorWoodPlanks:14, Colored Oak Wood Planks (Red Frequency)
ExtraUtilities:colorWoodPlanks:15, Colored Oak Wood Planks (Black Frequency)
ExtraUtilities:color_lightgem:0, Colored Glowstone (White Frequency)
ExtraUtilities:color_lightgem:1, Colored Glowstone (Orange Frequency)
ExtraUtilities:color_lightgem:2, Colored Glowstone (Magenta Frequency)
ExtraUtilities:color_lightgem:3, Colored Glowstone (Light Blue Frequency)
ExtraUtilities:color_lightgem:4, Colored Glowstone (Yellow Frequency)
ExtraUtilities:color_lightgem:5, Colored Glowstone (Lime Frequency)
ExtraUtilities:color_lightgem:6, Colored Glowstone (Pink Frequency)
ExtraUtilities:color_lightgem:7, Colored Glowstone (Gray Frequency)
ExtraUtilities:color_lightgem:8, Colored Glowstone (Light Gray Frequency)
ExtraUtilities:color_lightgem:9, Colored Glowstone (Cyan Frequency)
ExtraUtilities:color_lightgem:10, Colored Glowstone (Purple Frequency)
ExtraUtilities:color_lightgem:11, Colored Glowstone (Blue Frequency)
ExtraUtilities:color_lightgem:12, Colored Glowstone (Brown Frequency)
ExtraUtilities:color_lightgem:13, Colored Glowstone (Green Frequency)
ExtraUtilities:color_lightgem:14, Colored Glowstone (Red Frequency)
ExtraUtilities:color_lightgem:15, Colored Glowstone (Black Frequency)
ExtraUtilities:color_stone:0, Colored Stone (White Frequency)
ExtraUtilities:color_stone:1, Colored Stone (Orange Frequency)
ExtraUtilities:color_stone:2, Colored Stone (Magenta Frequency)
ExtraUtilities:color_stone:3, Colored Stone (Light Blue Frequency)
ExtraUtilities:color_stone:4, Colored Stone (Yellow Frequency)
ExtraUtilities:color_stone:5, Colored Stone (Lime Frequency)
ExtraUtilities:color_stone:6, Colored Stone (Pink Frequency)
ExtraUtilities:color_stone:7, Colored Stone (Gray Frequency)
ExtraUtilities:color_stone:8, Colored Stone (Light Gray Frequency)
ExtraUtilities:color_stone:9, Colored Stone (Cyan Frequency)
ExtraUtilities:color_stone:10, Colored Stone (Purple Frequency)
ExtraUtilities:color_stone:11, Colored Stone (Blue Frequency)
ExtraUtilities:color_stone:12, Colored Stone (Brown Frequency)
ExtraUtilities:color_stone:13, Colored Stone (Green Frequency)
ExtraUtilities:color_stone:14, Colored Stone (Red Frequency)
ExtraUtilities:color_stone:15, Colored Stone (Black Frequency)
ExtraUtilities:color_quartzBlock:0, Colored Block of Quartz (White Frequency)
ExtraUtilities:color_quartzBlock:1, Colored Block of Quartz (Orange Frequency)
ExtraUtilities:color_quartzBlock:2, Colored Block of Quartz (Magenta Frequency)
ExtraUtilities:color_quartzBlock:3, Colored Block of Quartz (Light Blue Frequency)
ExtraUtilities:color_quartzBlock:4, Colored Block of Quartz (Yellow Frequency)
ExtraUtilities:color_quartzBlock:5, Colored Block of Quartz (Lime Frequency)
ExtraUtilities:color_quartzBlock:6, Colored Block of Quartz (Pink Frequency)
ExtraUtilities:color_quartzBlock:7, Colored Block of Quartz (Gray Frequency)
ExtraUtilities:color_quartzBlock:8, Colored Block of Quartz (Light Gray Frequency)
ExtraUtilities:color_quartzBlock:9, Colored Block of Quartz (Cyan Frequency)
ExtraUtilities:color_quartzBlock:10, Colored Block of Quartz (Purple Frequency)
